host,worker,gpu,config_file,name,algorithm,algorithm_label,alpha,alpha_slug,machine_type,db_level,seed,auroc,equivalent_epochs,log_file,log_line
master,norm_g2,2,p1_anchor_centralized_pooled_valve_6dB_s2.json,p1_anchor_centralized_pooled_valve_6dB_s2,centralized_pooled,Centralized pooled,,pooled,valve,6dB,2,0.6891649353475857,60,master/logs/p1_norm_g2.log,251
n3,norm_g3,3,p1_anchor_centralized_pooled_valve_6dB_s3.json,p1_anchor_centralized_pooled_valve_6dB_s3,centralized_pooled,Centralized pooled,,pooled,valve,6dB,3,0.6809125238940459,60,n3/logs/p1_norm_g3.log,210
master,norm_g0,0,p1_anchor_centralized_pooled_valve_6dB_s4.json,p1_anchor_centralized_pooled_valve_6dB_s4,centralized_pooled,Centralized pooled,,pooled,valve,6dB,4,0.6975201347534465,60,master/logs/p1_norm_g0.log,251
n3,norm_g6,6,p1_anchor_centralized_pooled_valve_6dB_s5.json,p1_anchor_centralized_pooled_valve_6dB_s5,centralized_pooled,Centralized pooled,,pooled,valve,6dB,5,0.7142197158802306,60,n3/logs/p1_norm_g6.log,210
master,norm_g1,1,p1_anchor_centralized_pooled_valve_6dB_s6.json,p1_anchor_centralized_pooled_valve_6dB_s6,centralized_pooled,Centralized pooled,,pooled,valve,6dB,6,0.6800384627587913,60,master/logs/p1_norm_g1.log,251
n3,norm_g4,4,p1_anchor_centralized_pooled_valve_6dB_s7.json,p1_anchor_centralized_pooled_valve_6dB_s7,centralized_pooled,Centralized pooled,,pooled,valve,6dB,7,0.7150989430955049,60,n3/logs/p1_norm_g4.log,210
master,norm_g6,6,p1_anchor_centralized_pooled_valve_6dB_s8.json,p1_anchor_centralized_pooled_valve_6dB_s8,centralized_pooled,Centralized pooled,,pooled,valve,6dB,8,0.6752571243949088,60,master/logs/p1_norm_g6.log,253
n3,norm_g5,5,p1_anchor_centralized_pooled_valve_6dB_s9.json,p1_anchor_centralized_pooled_valve_6dB_s9,centralized_pooled,Centralized pooled,,pooled,valve,6dB,9,0.7261790492586389,60,n3/logs/p1_norm_g5.log,210
master,norm_g5,5,p1_anchor_local_only_a0p05_fan_-6dB_s0.json,p1_anchor_local_only_a0p05_fan_-6dB_s0,local_only,Local only,0.05,a0p05,fan,-6dB,0,0.5649895340766317,60,master/logs/p1_norm_g5.log,251
n3,norm_g2,2,p1_anchor_local_only_a0p05_fan_-6dB_s1.json,p1_anchor_local_only_a0p05_fan_-6dB_s1,local_only,Local only,0.05,a0p05,fan,-6dB,1,0.6129488763579238,60,n3/logs/p1_norm_g2.log,210
master,norm_g4,4,p1_anchor_local_only_a0p05_fan_-6dB_s2.json,p1_anchor_local_only_a0p05_fan_-6dB_s2,local_only,Local only,0.05,a0p05,fan,-6dB,2,0.6190252825602441,60,master/logs/p1_norm_g4.log,251
n3,norm_g0,0,p1_anchor_local_only_a0p05_fan_-6dB_s3.json,p1_anchor_local_only_a0p05_fan_-6dB_s3,local_only,Local only,0.05,a0p05,fan,-6dB,3,0.6926271027933237,60,n3/logs/p1_norm_g0.log,208
master,norm_g7,7,p1_anchor_local_only_a0p05_fan_-6dB_s4.json,p1_anchor_local_only_a0p05_fan_-6dB_s4,local_only,Local only,0.05,a0p05,fan,-6dB,4,0.6301383899176148,60,master/logs/p1_norm_g7.log,208
n3,norm_g7,7,p1_anchor_local_only_a0p05_fan_-6dB_s5.json,p1_anchor_local_only_a0p05_fan_-6dB_s5,local_only,Local only,0.05,a0p05,fan,-6dB,5,0.7011758751961257,60,n3/logs/p1_norm_g7.log,210
master,norm_g3,3,p1_anchor_local_only_a0p05_fan_-6dB_s6.json,p1_anchor_local_only_a0p05_fan_-6dB_s6,local_only,Local only,0.05,a0p05,fan,-6dB,6,0.7399129023995226,60,master/logs/p1_norm_g3.log,251
n3,norm_g1,1,p1_anchor_local_only_a0p05_fan_-6dB_s7.json,p1_anchor_local_only_a0p05_fan_-6dB_s7,local_only,Local only,0.05,a0p05,fan,-6dB,7,0.6410239502150273,60,n3/logs/p1_norm_g1.log,210
master,norm_g2,2,p1_anchor_local_only_a0p05_fan_-6dB_s8.json,p1_anchor_local_only_a0p05_fan_-6dB_s8,local_only,Local only,0.05,a0p05,fan,-6dB,8,0.6661778082367192,60,master/logs/p1_norm_g2.log,253
n3,norm_g3,3,p1_anchor_local_only_a0p05_fan_-6dB_s9.json,p1_anchor_local_only_a0p05_fan_-6dB_s9,local_only,Local only,0.05,a0p05,fan,-6dB,9,0.5669240907451767,60,n3/logs/p1_norm_g3.log,212
master,norm_g0,0,p1_anchor_local_only_a0p05_fan_0dB_s0.json,p1_anchor_local_only_a0p05_fan_0dB_s0,local_only,Local only,0.05,a0p05,fan,0dB,0,0.7200230419045444,60,master/logs/p1_norm_g0.log,253
n3,norm_g6,6,p1_anchor_local_only_a0p05_fan_0dB_s1.json,p1_anchor_local_only_a0p05_fan_0dB_s1,local_only,Local only,0.05,a0p05,fan,0dB,1,0.8135158204168036,60,n3/logs/p1_norm_g6.log,212
master,norm_g1,1,p1_anchor_local_only_a0p05_fan_0dB_s2.json,p1_anchor_local_only_a0p05_fan_0dB_s2,local_only,Local only,0.05,a0p05,fan,0dB,2,0.8335466177863988,60,master/logs/p1_norm_g1.log,253
n3,norm_g4,4,p1_anchor_local_only_a0p05_fan_0dB_s3.json,p1_anchor_local_only_a0p05_fan_0dB_s3,local_only,Local only,0.05,a0p05,fan,0dB,3,0.7878252770074577,60,n3/logs/p1_norm_g4.log,212
master,norm_g6,6,p1_anchor_local_only_a0p05_fan_0dB_s4.json,p1_anchor_local_only_a0p05_fan_0dB_s4,local_only,Local only,0.05,a0p05,fan,0dB,4,0.6866986722132211,60,master/logs/p1_norm_g6.log,255
n3,norm_g5,5,p1_anchor_local_only_a0p05_fan_0dB_s5.json,p1_anchor_local_only_a0p05_fan_0dB_s5,local_only,Local only,0.05,a0p05,fan,0dB,5,0.8260524006976583,60,n3/logs/p1_norm_g5.log,212
master,norm_g7,7,p1_anchor_local_only_a0p05_fan_0dB_s6.json,p1_anchor_local_only_a0p05_fan_0dB_s6,local_only,Local only,0.05,a0p05,fan,0dB,6,0.8260380174273112,60,master/logs/p1_norm_g7.log,210
n3,norm_g2,2,p1_anchor_local_only_a0p05_fan_0dB_s7.json,p1_anchor_local_only_a0p05_fan_0dB_s7,local_only,Local only,0.05,a0p05,fan,0dB,7,0.7924579724716752,60,n3/logs/p1_norm_g2.log,212
master,norm_g5,5,p1_anchor_local_only_a0p05_fan_0dB_s8.json,p1_anchor_local_only_a0p05_fan_0dB_s8,local_only,Local only,0.05,a0p05,fan,0dB,8,0.8380769883605248,60,master/logs/p1_norm_g5.log,253
n3,norm_g7,7,p1_anchor_local_only_a0p05_fan_0dB_s9.json,p1_anchor_local_only_a0p05_fan_0dB_s9,local_only,Local only,0.05,a0p05,fan,0dB,9,0.7328035846292098,60,n3/logs/p1_norm_g7.log,212
master,norm_g4,4,p1_anchor_local_only_a0p05_fan_6dB_s0.json,p1_anchor_local_only_a0p05_fan_6dB_s0,local_only,Local only,0.05,a0p05,fan,6dB,0,0.9015277888227256,60,master/logs/p1_norm_g4.log,253
n3,norm_g0,0,p1_anchor_local_only_a0p05_fan_6dB_s1.json,p1_anchor_local_only_a0p05_fan_6dB_s1,local_only,Local only,0.05,a0p05,fan,6dB,1,0.9132960789110092,60,n3/logs/p1_norm_g0.log,210
master,norm_g3,3,p1_anchor_local_only_a0p05_fan_6dB_s2.json,p1_anchor_local_only_a0p05_fan_6dB_s2,local_only,Local only,0.05,a0p05,fan,6dB,2,0.9578134805126839,60,master/logs/p1_norm_g3.log,253
n3,norm_g1,1,p1_anchor_local_only_a0p05_fan_6dB_s3.json,p1_anchor_local_only_a0p05_fan_6dB_s3,local_only,Local only,0.05,a0p05,fan,6dB,3,0.897054123706265,60,n3/logs/p1_norm_g1.log,212
master,norm_g2,2,p1_anchor_local_only_a0p05_fan_6dB_s4.json,p1_anchor_local_only_a0p05_fan_6dB_s4,local_only,Local only,0.05,a0p05,fan,6dB,4,0.7538812405554985,60,master/logs/p1_norm_g2.log,255
n3,norm_g3,3,p1_anchor_local_only_a0p05_fan_6dB_s5.json,p1_anchor_local_only_a0p05_fan_6dB_s5,local_only,Local only,0.05,a0p05,fan,6dB,5,0.8800485483143952,60,n3/logs/p1_norm_g3.log,214
master,norm_g0,0,p1_anchor_local_only_a0p05_fan_6dB_s6.json,p1_anchor_local_only_a0p05_fan_6dB_s6,local_only,Local only,0.05,a0p05,fan,6dB,6,0.8823467687272155,60,master/logs/p1_norm_g0.log,255
n3,norm_g6,6,p1_anchor_local_only_a0p05_fan_6dB_s7.json,p1_anchor_local_only_a0p05_fan_6dB_s7,local_only,Local only,0.05,a0p05,fan,6dB,7,0.9511515873499179,60,n3/logs/p1_norm_g6.log,214
master,norm_g6,6,p1_anchor_local_only_a0p05_fan_6dB_s8.json,p1_anchor_local_only_a0p05_fan_6dB_s8,local_only,Local only,0.05,a0p05,fan,6dB,8,0.9388859267486065,60,master/logs/p1_norm_g6.log,257
n3,norm_g5,5,p1_anchor_local_only_a0p05_fan_6dB_s9.json,p1_anchor_local_only_a0p05_fan_6dB_s9,local_only,Local only,0.05,a0p05,fan,6dB,9,0.8665045909746105,60,n3/logs/p1_norm_g5.log,214
master,norm_g1,1,p1_anchor_local_only_a0p05_pump_-6dB_s0.json,p1_anchor_local_only_a0p05_pump_-6dB_s0,local_only,Local only,0.05,a0p05,pump,-6dB,0,0.728690515691878,60,master/logs/p1_norm_g1.log,255
n3,norm_g4,4,p1_anchor_local_only_a0p05_pump_-6dB_s1.json,p1_anchor_local_only_a0p05_pump_-6dB_s1,local_only,Local only,0.05,a0p05,pump,-6dB,1,0.7528242685891676,60,n3/logs/p1_norm_g4.log,214
master,norm_g5,5,p1_anchor_local_only_a0p05_pump_-6dB_s2.json,p1_anchor_local_only_a0p05_pump_-6dB_s2,local_only,Local only,0.05,a0p05,pump,-6dB,2,0.7093797900560793,60,master/logs/p1_norm_g5.log,255
n3,norm_g2,2,p1_anchor_local_only_a0p05_pump_-6dB_s3.json,p1_anchor_local_only_a0p05_pump_-6dB_s3,local_only,Local only,0.05,a0p05,pump,-6dB,3,0.6871416489719543,60,n3/logs/p1_norm_g2.log,214
master,norm_g7,7,p1_anchor_local_only_a0p05_pump_-6dB_s4.json,p1_anchor_local_only_a0p05_pump_-6dB_s4,local_only,Local only,0.05,a0p05,pump,-6dB,4,0.6959202351944235,60,master/logs/p1_norm_g7.log,212
n3,norm_g7,7,p1_anchor_local_only_a0p05_pump_-6dB_s5.json,p1_anchor_local_only_a0p05_pump_-6dB_s5,local_only,Local only,0.05,a0p05,pump,-6dB,5,0.6593154114504618,60,n3/logs/p1_norm_g7.log,214
master,norm_g4,4,p1_anchor_local_only_a0p05_pump_-6dB_s6.json,p1_anchor_local_only_a0p05_pump_-6dB_s6,local_only,Local only,0.05,a0p05,pump,-6dB,6,0.7095555379980564,60,master/logs/p1_norm_g4.log,255
n3,norm_g0,0,p1_anchor_local_only_a0p05_pump_-6dB_s7.json,p1_anchor_local_only_a0p05_pump_-6dB_s7,local_only,Local only,0.05,a0p05,pump,-6dB,7,0.7265171525367877,60,n3/logs/p1_norm_g0.log,212
master,norm_g3,3,p1_anchor_local_only_a0p05_pump_-6dB_s8.json,p1_anchor_local_only_a0p05_pump_-6dB_s8,local_only,Local only,0.05,a0p05,pump,-6dB,8,0.6616368635673309,60,master/logs/p1_norm_g3.log,255
n3,norm_g1,1,p1_anchor_local_only_a0p05_pump_-6dB_s9.json,p1_anchor_local_only_a0p05_pump_-6dB_s9,local_only,Local only,0.05,a0p05,pump,-6dB,9,0.7048518869037916,60,n3/logs/p1_norm_g1.log,214
master,norm_g2,2,p1_anchor_local_only_a0p05_pump_0dB_s0.json,p1_anchor_local_only_a0p05_pump_0dB_s0,local_only,Local only,0.05,a0p05,pump,0dB,0,0.8483523589208982,60,master/logs/p1_norm_g2.log,257
n3,norm_g3,3,p1_anchor_local_only_a0p05_pump_0dB_s1.json,p1_anchor_local_only_a0p05_pump_0dB_s1,local_only,Local only,0.05,a0p05,pump,0dB,1,0.7865366894275249,60,n3/logs/p1_norm_g3.log,216
master,norm_g0,0,p1_anchor_local_only_a0p05_pump_0dB_s2.json,p1_anchor_local_only_a0p05_pump_0dB_s2,local_only,Local only,0.05,a0p05,pump,0dB,2,0.7766975884358328,60,master/logs/p1_norm_g0.log,257
n3,norm_g5,5,p1_anchor_local_only_a0p05_pump_0dB_s3.json,p1_anchor_local_only_a0p05_pump_0dB_s3,local_only,Local only,0.05,a0p05,pump,0dB,3,0.7768912072802554,60,n3/logs/p1_norm_g5.log,216
master,norm_g6,6,p1_anchor_local_only_a0p05_pump_0dB_s4.json,p1_anchor_local_only_a0p05_pump_0dB_s4,local_only,Local only,0.05,a0p05,pump,0dB,4,0.7884204343768579,60,master/logs/p1_norm_g6.log,259
n3,norm_g4,4,p1_anchor_local_only_a0p05_pump_0dB_s5.json,p1_anchor_local_only_a0p05_pump_0dB_s5,local_only,Local only,0.05,a0p05,pump,0dB,5,0.7216687953415173,60,n3/logs/p1_norm_g4.log,216
master,norm_g1,1,p1_anchor_local_only_a0p05_pump_0dB_s6.json,p1_anchor_local_only_a0p05_pump_0dB_s6,local_only,Local only,0.05,a0p05,pump,0dB,6,0.728324198138339,60,master/logs/p1_norm_g1.log,257
n3,norm_g6,6,p1_anchor_local_only_a0p05_pump_0dB_s7.json,p1_anchor_local_only_a0p05_pump_0dB_s7,local_only,Local only,0.05,a0p05,pump,0dB,7,0.7903475489663236,60,n3/logs/p1_norm_g6.log,216
master,norm_g5,5,p1_anchor_local_only_a0p05_pump_0dB_s8.json,p1_anchor_local_only_a0p05_pump_0dB_s8,local_only,Local only,0.05,a0p05,pump,0dB,8,0.7602191813869115,60,master/logs/p1_norm_g5.log,257
n3,norm_g2,2,p1_anchor_local_only_a0p05_pump_0dB_s9.json,p1_anchor_local_only_a0p05_pump_0dB_s9,local_only,Local only,0.05,a0p05,pump,0dB,9,0.8448546254766202,60,n3/logs/p1_norm_g2.log,216
master,norm_g7,7,p1_anchor_local_only_a0p05_pump_6dB_s0.json,p1_anchor_local_only_a0p05_pump_6dB_s0,local_only,Local only,0.05,a0p05,pump,6dB,0,0.8800067210788681,60,master/logs/p1_norm_g7.log,214
n3,norm_g7,7,p1_anchor_local_only_a0p05_pump_6dB_s1.json,p1_anchor_local_only_a0p05_pump_6dB_s1,local_only,Local only,0.05,a0p05,pump,6dB,1,0.8913698014653881,60,n3/logs/p1_norm_g7.log,216
master,norm_g4,4,p1_anchor_local_only_a0p05_pump_6dB_s2.json,p1_anchor_local_only_a0p05_pump_6dB_s2,local_only,Local only,0.05,a0p05,pump,6dB,2,0.8645937918465182,60,master/logs/p1_norm_g4.log,257
n3,norm_g0,0,p1_anchor_local_only_a0p05_pump_6dB_s3.json,p1_anchor_local_only_a0p05_pump_6dB_s3,local_only,Local only,0.05,a0p05,pump,6dB,3,0.8578077736905483,60,n3/logs/p1_norm_g0.log,214
master,norm_g3,3,p1_anchor_local_only_a0p05_pump_6dB_s4.json,p1_anchor_local_only_a0p05_pump_6dB_s4,local_only,Local only,0.05,a0p05,pump,6dB,4,0.8335662583174197,60,master/logs/p1_norm_g3.log,257
n3,norm_g1,1,p1_anchor_local_only_a0p05_pump_6dB_s5.json,p1_anchor_local_only_a0p05_pump_6dB_s5,local_only,Local only,0.05,a0p05,pump,6dB,5,0.8194392311949819,60,n3/logs/p1_norm_g1.log,216
master,norm_g2,2,p1_anchor_local_only_a0p05_pump_6dB_s6.json,p1_anchor_local_only_a0p05_pump_6dB_s6,local_only,Local only,0.05,a0p05,pump,6dB,6,0.7955026657574109,60,master/logs/p1_norm_g2.log,259
n3,norm_g3,3,p1_anchor_local_only_a0p05_pump_6dB_s7.json,p1_anchor_local_only_a0p05_pump_6dB_s7,local_only,Local only,0.05,a0p05,pump,6dB,7,0.8448820202448117,60,n3/logs/p1_norm_g3.log,218
master,norm_g0,0,p1_anchor_local_only_a0p05_pump_6dB_s8.json,p1_anchor_local_only_a0p05_pump_6dB_s8,local_only,Local only,0.05,a0p05,pump,6dB,8,0.8248390835956785,60,master/logs/p1_norm_g0.log,259
n3,norm_g4,4,p1_anchor_local_only_a0p05_pump_6dB_s9.json,p1_anchor_local_only_a0p05_pump_6dB_s9,local_only,Local only,0.05,a0p05,pump,6dB,9,0.9069133638878366,60,n3/logs/p1_norm_g4.log,218
master,norm_g6,6,p1_anchor_local_only_a0p05_slider_-6dB_s0.json,p1_anchor_local_only_a0p05_slider_-6dB_s0,local_only,Local only,0.05,a0p05,slider,-6dB,0,0.8150365458368638,60,master/logs/p1_norm_g6.log,261
n3,norm_g5,5,p1_anchor_local_only_a0p05_slider_-6dB_s1.json,p1_anchor_local_only_a0p05_slider_-6dB_s1,local_only,Local only,0.05,a0p05,slider,-6dB,1,0.7441177899271255,60,n3/logs/p1_norm_g5.log,218
master,norm_g1,1,p1_anchor_local_only_a0p05_slider_-6dB_s2.json,p1_anchor_local_only_a0p05_slider_-6dB_s2,local_only,Local only,0.05,a0p05,slider,-6dB,2,0.6854192112299273,60,master/logs/p1_norm_g1.log,259
n3,norm_g6,6,p1_anchor_local_only_a0p05_slider_-6dB_s3.json,p1_anchor_local_only_a0p05_slider_-6dB_s3,local_only,Local only,0.05,a0p05,slider,-6dB,3,0.7461807516991908,60,n3/logs/p1_norm_g6.log,218
master,norm_g5,5,p1_anchor_local_only_a0p05_slider_-6dB_s4.json,p1_anchor_local_only_a0p05_slider_-6dB_s4,local_only,Local only,0.05,a0p05,slider,-6dB,4,0.7159972785595522,60,master/logs/p1_norm_g5.log,259
n3,norm_g2,2,p1_anchor_local_only_a0p05_slider_-6dB_s5.json,p1_anchor_local_only_a0p05_slider_-6dB_s5,local_only,Local only,0.05,a0p05,slider,-6dB,5,0.6502551341150102,60,n3/logs/p1_norm_g2.log,218
master,norm_g7,7,p1_anchor_local_only_a0p05_slider_-6dB_s6.json,p1_anchor_local_only_a0p05_slider_-6dB_s6,local_only,Local only,0.05,a0p05,slider,-6dB,6,0.8364862274160277,60,master/logs/p1_norm_g7.log,216
n3,norm_g0,0,p1_anchor_local_only_a0p05_slider_-6dB_s7.json,p1_anchor_local_only_a0p05_slider_-6dB_s7,local_only,Local only,0.05,a0p05,slider,-6dB,7,0.7761106185166604,60,n3/logs/p1_norm_g0.log,216
master,norm_g4,4,p1_anchor_local_only_a0p05_slider_-6dB_s8.json,p1_anchor_local_only_a0p05_slider_-6dB_s8,local_only,Local only,0.05,a0p05,slider,-6dB,8,0.7353297691288635,60,master/logs/p1_norm_g4.log,259
n3,norm_g7,7,p1_anchor_local_only_a0p05_slider_-6dB_s9.json,p1_anchor_local_only_a0p05_slider_-6dB_s9,local_only,Local only,0.05,a0p05,slider,-6dB,9,0.8115284345665703,60,n3/logs/p1_norm_g7.log,218
master,norm_g3,3,p1_anchor_local_only_a0p05_slider_0dB_s0.json,p1_anchor_local_only_a0p05_slider_0dB_s0,local_only,Local only,0.05,a0p05,slider,0dB,0,0.9050210529115934,60,master/logs/p1_norm_g3.log,259
n3,norm_g1,1,p1_anchor_local_only_a0p05_slider_0dB_s1.json,p1_anchor_local_only_a0p05_slider_0dB_s1,local_only,Local only,0.05,a0p05,slider,0dB,1,0.8670999685389671,60,n3/logs/p1_norm_g1.log,218
master,norm_g2,2,p1_anchor_local_only_a0p05_slider_0dB_s2.json,p1_anchor_local_only_a0p05_slider_0dB_s2,local_only,Local only,0.05,a0p05,slider,0dB,2,0.7897386338726643,60,master/logs/p1_norm_g2.log,261
n3,norm_g3,3,p1_anchor_local_only_a0p05_slider_0dB_s3.json,p1_anchor_local_only_a0p05_slider_0dB_s3,local_only,Local only,0.05,a0p05,slider,0dB,3,0.8235996613679659,60,n3/logs/p1_norm_g3.log,220
master,norm_g0,0,p1_anchor_local_only_a0p05_slider_0dB_s4.json,p1_anchor_local_only_a0p05_slider_0dB_s4,local_only,Local only,0.05,a0p05,slider,0dB,4,0.8301571358848351,60,master/logs/p1_norm_g0.log,261
n3,norm_g4,4,p1_anchor_local_only_a0p05_slider_0dB_s5.json,p1_anchor_local_only_a0p05_slider_0dB_s5,local_only,Local only,0.05,a0p05,slider,0dB,5,0.8655150295852214,60,n3/logs/p1_norm_g4.log,220
master,norm_g1,1,p1_anchor_local_only_a0p05_slider_0dB_s6.json,p1_anchor_local_only_a0p05_slider_0dB_s6,local_only,Local only,0.05,a0p05,slider,0dB,6,0.9076241512279459,60,master/logs/p1_norm_g1.log,261
n3,norm_g5,5,p1_anchor_local_only_a0p05_slider_0dB_s7.json,p1_anchor_local_only_a0p05_slider_0dB_s7,local_only,Local only,0.05,a0p05,slider,0dB,7,0.8184199930499155,60,n3/logs/p1_norm_g5.log,220
master,norm_g6,6,p1_anchor_local_only_a0p05_slider_0dB_s8.json,p1_anchor_local_only_a0p05_slider_0dB_s8,local_only,Local only,0.05,a0p05,slider,0dB,8,0.839714601155073,60,master/logs/p1_norm_g6.log,263
n3,norm_g6,6,p1_anchor_local_only_a0p05_slider_0dB_s9.json,p1_anchor_local_only_a0p05_slider_0dB_s9,local_only,Local only,0.05,a0p05,slider,0dB,9,0.8817284307487461,60,n3/logs/p1_norm_g6.log,220
master,norm_g5,5,p1_anchor_local_only_a0p05_slider_6dB_s0.json,p1_anchor_local_only_a0p05_slider_6dB_s0,local_only,Local only,0.05,a0p05,slider,6dB,0,0.8833412960772016,60,master/logs/p1_norm_g5.log,261
n3,norm_g2,2,p1_anchor_local_only_a0p05_slider_6dB_s1.json,p1_anchor_local_only_a0p05_slider_6dB_s1,local_only,Local only,0.05,a0p05,slider,6dB,1,0.8552124231907113,60,n3/logs/p1_norm_g2.log,220
master,norm_g7,7,p1_anchor_local_only_a0p05_slider_6dB_s2.json,p1_anchor_local_only_a0p05_slider_6dB_s2,local_only,Local only,0.05,a0p05,slider,6dB,2,0.8481319477693458,60,master/logs/p1_norm_g7.log,218
n3,norm_g0,0,p1_anchor_local_only_a0p05_slider_6dB_s3.json,p1_anchor_local_only_a0p05_slider_6dB_s3,local_only,Local only,0.05,a0p05,slider,6dB,3,0.8688725062687936,60,n3/logs/p1_norm_g0.log,218
master,norm_g4,4,p1_anchor_local_only_a0p05_slider_6dB_s4.json,p1_anchor_local_only_a0p05_slider_6dB_s4,local_only,Local only,0.05,a0p05,slider,6dB,4,0.8603808261667015,60,master/logs/p1_norm_g4.log,261
n3,norm_g7,7,p1_anchor_local_only_a0p05_slider_6dB_s5.json,p1_anchor_local_only_a0p05_slider_6dB_s5,local_only,Local only,0.05,a0p05,slider,6dB,5,0.8779130625969569,60,n3/logs/p1_norm_g7.log,220
master,norm_g0,0,p1_anchor_local_only_a0p05_slider_6dB_s6.json,p1_anchor_local_only_a0p05_slider_6dB_s6,local_only,Local only,0.05,a0p05,slider,6dB,6,0.9276503977146711,60,master/logs/p1_norm_g0.log,263
n3,norm_g1,1,p1_anchor_local_only_a0p05_slider_6dB_s7.json,p1_anchor_local_only_a0p05_slider_6dB_s7,local_only,Local only,0.05,a0p05,slider,6dB,7,0.8476888709227484,60,n3/logs/p1_norm_g1.log,220
master,norm_g3,3,p1_anchor_local_only_a0p05_slider_6dB_s8.json,p1_anchor_local_only_a0p05_slider_6dB_s8,local_only,Local only,0.05,a0p05,slider,6dB,8,0.9007036397295255,60,master/logs/p1_norm_g3.log,261
n3,norm_g3,3,p1_anchor_local_only_a0p05_slider_6dB_s9.json,p1_anchor_local_only_a0p05_slider_6dB_s9,local_only,Local only,0.05,a0p05,slider,6dB,9,0.8941063301556853,60,n3/logs/p1_norm_g3.log,222
master,norm_g2,2,p1_anchor_local_only_a0p05_valve_-6dB_s0.json,p1_anchor_local_only_a0p05_valve_-6dB_s0,local_only,Local only,0.05,a0p05,valve,-6dB,0,0.4316547639448253,60,master/logs/p1_norm_g2.log,263
n3,norm_g4,4,p1_anchor_local_only_a0p05_valve_-6dB_s1.json,p1_anchor_local_only_a0p05_valve_-6dB_s1,local_only,Local only,0.05,a0p05,valve,-6dB,1,0.5408131346191607,60,n3/logs/p1_norm_g4.log,222
master,norm_g1,1,p1_anchor_local_only_a0p05_valve_-6dB_s2.json,p1_anchor_local_only_a0p05_valve_-6dB_s2,local_only,Local only,0.05,a0p05,valve,-6dB,2,0.5166922300381809,60,master/logs/p1_norm_g1.log,263
n3,norm_g5,5,p1_anchor_local_only_a0p05_valve_-6dB_s3.json,p1_anchor_local_only_a0p05_valve_-6dB_s3,local_only,Local only,0.05,a0p05,valve,-6dB,3,0.40159668686159,60,n3/logs/p1_norm_g5.log,222
master,norm_g6,6,p1_anchor_local_only_a0p05_valve_-6dB_s4.json,p1_anchor_local_only_a0p05_valve_-6dB_s4,local_only,Local only,0.05,a0p05,valve,-6dB,4,0.45640663627434974,60,master/logs/p1_norm_g6.log,265
n3,norm_g6,6,p1_anchor_local_only_a0p05_valve_-6dB_s5.json,p1_anchor_local_only_a0p05_valve_-6dB_s5,local_only,Local only,0.05,a0p05,valve,-6dB,5,0.5431178444540085,60,n3/logs/p1_norm_g6.log,222
master,norm_g7,7,p1_anchor_local_only_a0p05_valve_-6dB_s6.json,p1_anchor_local_only_a0p05_valve_-6dB_s6,local_only,Local only,0.05,a0p05,valve,-6dB,6,0.5481866880109239,60,master/logs/p1_norm_g7.log,220
n3,norm_g2,2,p1_anchor_local_only_a0p05_valve_-6dB_s7.json,p1_anchor_local_only_a0p05_valve_-6dB_s7,local_only,Local only,0.05,a0p05,valve,-6dB,7,0.4839811490718858,60,n3/logs/p1_norm_g2.log,222
master,norm_g4,4,p1_anchor_local_only_a0p05_valve_-6dB_s8.json,p1_anchor_local_only_a0p05_valve_-6dB_s8,local_only,Local only,0.05,a0p05,valve,-6dB,8,0.4969500825323409,60,master/logs/p1_norm_g4.log,263
n3,norm_g7,7,p1_anchor_local_only_a0p05_valve_-6dB_s9.json,p1_anchor_local_only_a0p05_valve_-6dB_s9,local_only,Local only,0.05,a0p05,valve,-6dB,9,0.4695025612704262,60,n3/logs/p1_norm_g7.log,222
master,norm_g5,5,p1_anchor_local_only_a0p05_valve_0dB_s0.json,p1_anchor_local_only_a0p05_valve_0dB_s0,local_only,Local only,0.05,a0p05,valve,0dB,0,0.5913781198885099,60,master/logs/p1_norm_g5.log,263
n3,norm_g0,0,p1_anchor_local_only_a0p05_valve_0dB_s1.json,p1_anchor_local_only_a0p05_valve_0dB_s1,local_only,Local only,0.05,a0p05,valve,0dB,1,0.5627309986471342,60,n3/logs/p1_norm_g0.log,220
master,norm_g0,0,p1_anchor_local_only_a0p05_valve_0dB_s2.json,p1_anchor_local_only_a0p05_valve_0dB_s2,local_only,Local only,0.05,a0p05,valve,0dB,2,0.6070832519849554,60,master/logs/p1_norm_g0.log,265
n3,norm_g1,1,p1_anchor_local_only_a0p05_valve_0dB_s3.json,p1_anchor_local_only_a0p05_valve_0dB_s3,local_only,Local only,0.05,a0p05,valve,0dB,3,0.6351493776250474,60,n3/logs/p1_norm_g1.log,222
master,norm_g3,3,p1_anchor_local_only_a0p05_valve_0dB_s4.json,p1_anchor_local_only_a0p05_valve_0dB_s4,local_only,Local only,0.05,a0p05,valve,0dB,4,0.5696331675023608,60,master/logs/p1_norm_g3.log,263
n3,norm_g3,3,p1_anchor_local_only_a0p05_valve_0dB_s5.json,p1_anchor_local_only_a0p05_valve_0dB_s5,local_only,Local only,0.05,a0p05,valve,0dB,5,0.5636475381853904,60,n3/logs/p1_norm_g3.log,224
