node,worker,algorithm,alpha,machine_type,db_level,seed,auroc
master,g1,clustered_fl,a100,slider,-6dB,13,0.7556934228778871
n1,g6,clustered_fl,a100,slider,-6dB,14,0.8358097235334118
n3,g2,clustered_fl,a100,slider,-6dB,15,0.836220487119243
master,g4,clustered_fl,a100,slider,-6dB,16,0.8393542789175232
n3,g7,clustered_fl,a100,slider,-6dB,17,0.8312695979132189
master,g0,clustered_fl,a100,slider,-6dB,18,0.8348315630226253
n1,g7,clustered_fl,a100,slider,-6dB,19,0.8214522051982641
master,g4,clustered_fl,a100,slider,0dB,0,0.9053410017829039
n1,g6,clustered_fl,a100,slider,0dB,1,0.8943320277549004
n3,g7,clustered_fl,a100,slider,0dB,2,0.9013542025658723
master,g3,clustered_fl,a100,slider,0dB,3,0.890670108611164
n3,g1,clustered_fl,a100,slider,0dB,4,0.8947996817257142
master,g0,clustered_fl,a100,slider,0dB,5,0.8941471441025565
n1,g4,clustered_fl,a100,slider,0dB,6,0.8998640671741036
n3,g5,clustered_fl,a100,slider,0dB,7,0.8870413158389603
master,g2,clustered_fl,a100,slider,0dB,8,0.8697824461597392
n3,g0,clustered_fl,a100,slider,0dB,9,0.8951576160975538
master,g6,clustered_fl,a100,slider,0dB,10,0.8982086115880532
n1,g7,clustered_fl,a100,slider,0dB,11,0.9050245842878499
n3,g3,clustered_fl,a100,slider,0dB,12,0.9076852566715399
master,g1,clustered_fl,a100,slider,0dB,13,0.8431264282923191
n3,g4,clustered_fl,a100,slider,0dB,14,0.8919698966966818
master,g5,clustered_fl,a100,slider,0dB,15,0.8925988764901739
n1,g5,clustered_fl,a100,slider,0dB,16,0.9068755909596005
n3,g6,clustered_fl,a100,slider,0dB,17,0.8786987151433234
master,g7,clustered_fl,a100,slider,0dB,18,0.8946962497457187
n3,g2,clustered_fl,a100,slider,0dB,19,0.8825930580819484
master,g7,clustered_fl,a100,slider,6dB,0,0.9385710287541714
n3,g3,clustered_fl,a100,slider,6dB,1,0.9239798922241007
master,g2,clustered_fl,a100,slider,6dB,2,0.9458657390079726
n1,g6,clustered_fl,a100,slider,6dB,3,0.9427893878986907
n3,g5,clustered_fl,a100,slider,6dB,4,0.9377493873589835
master,g6,clustered_fl,a100,slider,6dB,5,0.945557998372011
n3,g0,clustered_fl,a100,slider,6dB,6,0.9471548623754439
master,g5,clustered_fl,a100,slider,6dB,7,0.9091077269767338
n1,g4,clustered_fl,a100,slider,6dB,8,0.8814930361079331
n3,g1,clustered_fl,a100,slider,6dB,9,0.947423285805246
master,g0,clustered_fl,a100,slider,6dB,10,0.9417677790572505
n3,g4,clustered_fl,a100,slider,6dB,11,0.9428185132312462
master,g4,clustered_fl,a100,slider,6dB,12,0.9532259923691291
n1,g5,clustered_fl,a100,slider,6dB,13,0.8797581408147963
n3,g6,clustered_fl,a100,slider,6dB,14,0.9406830796489842
master,g1,clustered_fl,a100,slider,6dB,15,0.9408283676984135
n3,g2,clustered_fl,a100,slider,6dB,16,0.9507422654152835
master,g3,clustered_fl,a100,slider,6dB,17,0.9043150825772722
n1,g7,clustered_fl,a100,slider,6dB,18,0.9413416728348689
n3,g7,clustered_fl,a100,slider,6dB,19,0.9038710362224427
n3,g4,clustered_fl,a100,valve,-6dB,0,0.4787552500548033
master,g5,clustered_fl,a100,valve,-6dB,1,0.4898513819071882
n3,g1,clustered_fl,a100,valve,-6dB,2,0.4933392585645621
master,g0,clustered_fl,a100,valve,-6dB,3,0.4919417891693653
n1,g5,clustered_fl,a100,valve,-6dB,4,0.4860549489004848
n3,g7,clustered_fl,a100,valve,-6dB,5,0.4928499545394899
master,g4,clustered_fl,a100,valve,-6dB,6,0.5006548725227373
n3,g5,clustered_fl,a100,valve,-6dB,7,0.4883004492789823
master,g2,clustered_fl,a100,valve,-6dB,8,0.4486172234172722
n1,g4,clustered_fl,a100,valve,-6dB,9,0.5022214049858544
n3,g3,clustered_fl,a100,valve,-6dB,10,0.4698382873341228
master,g6,clustered_fl,a100,valve,-6dB,11,0.5186202323708355
n3,g2,clustered_fl,a100,valve,-6dB,12,0.510291585809334
master,g3,clustered_fl,a100,valve,-6dB,13,0.4540387434149764
n1,g7,clustered_fl,a100,valve,-6dB,14,0.4991395113802495
n3,g6,clustered_fl,a100,valve,-6dB,15,0.4947191574792557
master,g7,clustered_fl,a100,valve,-6dB,16,0.4879013082579342
n3,g0,clustered_fl,a100,valve,-6dB,17,0.4670447736779498
master,g1,clustered_fl,a100,valve,-6dB,18,0.4937542865885283
n1,g6,clustered_fl,a100,valve,-6dB,19,0.4496316717460856
master,g2,clustered_fl,a100,valve,0dB,0,0.5443384445092077
n1,g4,clustered_fl,a100,valve,0dB,1,0.5495749174505022
n3,g5,clustered_fl,a100,valve,0dB,2,0.5857645000946231
master,g6,clustered_fl,a100,valve,0dB,3,0.5662350585560226
n3,g0,clustered_fl,a100,valve,0dB,4,0.5370658572332588
master,g4,clustered_fl,a100,valve,0dB,5,0.5607164432287965
n1,g5,clustered_fl,a100,valve,0dB,6,0.6015396696000241
n3,g1,clustered_fl,a100,valve,0dB,7,0.5251307799580867
master,g7,clustered_fl,a100,valve,0dB,8,0.529210862441358
n3,g7,clustered_fl,a100,valve,0dB,9,0.5978532106399188
master,g3,clustered_fl,a100,valve,0dB,10,0.5814077977922378
n1,g7,clustered_fl,a100,valve,0dB,11,0.615564033490678
n3,g4,clustered_fl,a100,valve,0dB,12,0.5965346493919762
master,g0,clustered_fl,a100,valve,0dB,13,0.4863076443772606
n3,g3,clustered_fl,a100,valve,0dB,14,0.5976255903543973
master,g1,clustered_fl,a100,valve,0dB,15,0.5774091286274139
n1,g6,clustered_fl,a100,valve,0dB,16,0.5738317460661332
n3,g2,clustered_fl,a100,valve,0dB,17,0.5174210758782707
master,g5,clustered_fl,a100,valve,0dB,18,0.5715850400293184
n3,g6,clustered_fl,a100,valve,0dB,19,0.4697563068063717
master,g4,clustered_fl,a100,valve,6dB,0,0.6128758037141218
n3,g4,clustered_fl,a100,valve,6dB,1,0.6428810963316639
master,g5,clustered_fl,a100,valve,6dB,2,0.6482423113666238
n1,g5,clustered_fl,a100,valve,6dB,3,0.6487228118249319
n3,g6,clustered_fl,a100,valve,6dB,4,0.624030314818882
master,g3,clustered_fl,a100,valve,6dB,5,0.6221208112981336
n3,g0,clustered_fl,a100,valve,6dB,6,0.6430851771519175
master,g2,clustered_fl,a100,valve,6dB,7,0.5288803322517035
n1,g6,clustered_fl,a100,valve,6dB,8,0.4303789465122335
n3,g7,clustered_fl,a100,valve,6dB,9,0.6669947158137596
master,g7,clustered_fl,a100,valve,6dB,10,0.6452573327218255
n3,g3,clustered_fl,a100,valve,6dB,11,0.6865160844946685
master,g6,clustered_fl,a100,valve,6dB,12,0.6901484198426262
n1,g4,clustered_fl,a100,valve,6dB,13,0.4202330360247494
n3,g5,clustered_fl,a100,valve,6dB,14,0.6583445449572226
master,g1,clustered_fl,a100,valve,6dB,15,0.6423746482528893
n3,g2,clustered_fl,a100,valve,6dB,16,0.6427311525700754
master,g0,clustered_fl,a100,valve,6dB,17,0.4089608696516845
n1,g7,clustered_fl,a100,valve,6dB,18,0.6533922841059938
n3,g1,clustered_fl,a100,valve,6dB,19,0.4347642658128663
n3,g4,fedavg,a0p05,fan,-6dB,0,0.5677419104789951
master,g4,fedavg,a0p05,fan,-6dB,1,0.7154028554971796
n3,g2,fedavg,a0p05,fan,-6dB,2,0.6137153101764976
master,g0,fedavg,a0p05,fan,-6dB,3,0.6853142938674117
n1,g6,fedavg,a0p05,fan,-6dB,4,0.625998360089939
n3,g0,fedavg,a0p05,fan,-6dB,5,0.7827108389087262
master,g5,fedavg,a0p05,fan,-6dB,6,0.6544419819546808
n3,g1,fedavg,a0p05,fan,-6dB,7,0.5845794254719938
master,g2,fedavg,a0p05,fan,-6dB,8,0.5362816831115157
n1,g5,fedavg,a0p05,fan,-6dB,9,0.626182768467877
n3,g7,fedavg,a0p05,fan,-6dB,10,0.4993064971390447
master,g7,fedavg,a0p05,fan,-6dB,11,0.5764305927552051
n3,g3,fedavg,a0p05,fan,-6dB,12,0.6233548589993307
master,g6,fedavg,a0p05,fan,-6dB,13,0.6081060396918769
n1,g4,fedavg,a0p05,fan,-6dB,14,0.6087803510537917
n3,g6,fedavg,a0p05,fan,-6dB,15,0.6001397430239019
master,g3,fedavg,a0p05,fan,-6dB,16,0.673867488420256
n3,g5,fedavg,a0p05,fan,-6dB,17,0.63829217563273
master,g1,fedavg,a0p05,fan,-6dB,18,0.5826556397050886
n1,g7,fedavg,a0p05,fan,-6dB,19,0.6098272119207551
master,g1,fedavg,a0p05,fan,0dB,0,0.7307131575255216
n1,g5,fedavg,a0p05,fan,0dB,1,0.7904343358968269
n3,g6,fedavg,a0p05,fan,0dB,2,0.8616395934256869
master,g2,fedavg,a0p05,fan,0dB,3,0.7853554603546596
n3,g5,fedavg,a0p05,fan,0dB,4,0.8140696222224868
master,g0,fedavg,a0p05,fan,0dB,5,0.7848972693641767
n1,g4,fedavg,a0p05,fan,0dB,6,0.7813640742293501
n3,g0,fedavg,a0p05,fan,0dB,7,0.7851463852848455
master,g6,fedavg,a0p05,fan,0dB,8,0.7789782396929544
n3,g1,fedavg,a0p05,fan,0dB,9,0.7427994363897027
master,g7,fedavg,a0p05,fan,0dB,10,0.8041798179531234
n1,g6,fedavg,a0p05,fan,0dB,11,0.7254970122933536
n3,g4,fedavg,a0p05,fan,0dB,12,0.7896082380038557
master,g4,fedavg,a0p05,fan,0dB,13,0.8596248405141562
n3,g3,fedavg,a0p05,fan,0dB,14,0.7200354985472064
master,g3,fedavg,a0p05,fan,0dB,15,0.7619671078428196
n1,g7,fedavg,a0p05,fan,0dB,16,0.7323296336848407
n3,g7,fedavg,a0p05,fan,0dB,17,0.7325288154382411
master,g5,fedavg,a0p05,fan,0dB,18,0.8429151227288023
n3,g2,fedavg,a0p05,fan,0dB,19,0.7613225528512508
master,g5,fedavg,a0p05,fan,6dB,0,0.878226059169015
n3,g4,fedavg,a0p05,fan,6dB,1,0.9581288771207538
master,g0,fedavg,a0p05,fan,6dB,2,0.9460259065013089
n1,g5,fedavg,a0p05,fan,6dB,3,0.9577272746121124
n3,g1,fedavg,a0p05,fan,6dB,4,0.9014891735736859
master,g3,fedavg,a0p05,fan,6dB,5,0.9410560906434573
n3,g0,fedavg,a0p05,fan,6dB,6,0.9384705599456977
master,g2,fedavg,a0p05,fan,6dB,7,0.9471213374212198
n1,g6,fedavg,a0p05,fan,6dB,8,0.8339597427161662
n3,g5,fedavg,a0p05,fan,6dB,9,0.8997697575484749
master,g1,fedavg,a0p05,fan,6dB,10,0.9258097018007261
n3,g3,fedavg,a0p05,fan,6dB,11,0.8196204696386791
master,g6,fedavg,a0p05,fan,6dB,12,0.9333482957167025
n1,g4,fedavg,a0p05,fan,6dB,13,0.9353096026444305
n3,g7,fedavg,a0p05,fan,6dB,14,0.8204482303668368
master,g7,fedavg,a0p05,fan,6dB,15,0.922111280158496
n3,g2,fedavg,a0p05,fan,6dB,16,0.8708390239209413
master,g4,fedavg,a0p05,fan,6dB,17,0.9755048063204894
n1,g7,fedavg,a0p05,fan,6dB,18,0.9288193330567744
n3,g6,fedavg,a0p05,fan,6dB,19,0.9388388070852847
n3,g4,fedavg,a0p05,pump,-6dB,0,0.6352218120534303
master,g0,fedavg,a0p05,pump,-6dB,1,0.7245299903788444
n3,g0,fedavg,a0p05,pump,-6dB,2,0.626592854328773
master,g1,fedavg,a0p05,pump,-6dB,3,0.7110383833725775
n1,g6,fedavg,a0p05,pump,-6dB,4,0.6518217018062529
n3,g5,fedavg,a0p05,pump,-6dB,5,0.6639456000828335
master,g6,fedavg,a0p05,pump,-6dB,6,0.6707238209260777
n3,g1,fedavg,a0p05,pump,-6dB,7,0.6481109307908454
master,g2,fedavg,a0p05,pump,-6dB,8,0.5912188292734932
n1,g5,fedavg,a0p05,pump,-6dB,9,0.6769109074891078
n3,g3,fedavg,a0p05,pump,-6dB,10,0.7001561500001527
master,g7,fedavg,a0p05,pump,-6dB,11,0.6882211379862022
n3,g7,fedavg,a0p05,pump,-6dB,12,0.708157452611477
master,g4,fedavg,a0p05,pump,-6dB,13,0.6962762595075157
n1,g4,fedavg,a0p05,pump,-6dB,14,0.6563701914093291
n3,g6,fedavg,a0p05,pump,-6dB,15,0.6174561326629643
master,g5,fedavg,a0p05,pump,-6dB,16,0.6167049600650516
n3,g2,fedavg,a0p05,pump,-6dB,17,0.765690697081909
master,g3,fedavg,a0p05,pump,-6dB,18,0.6383044163690704
n1,g7,fedavg,a0p05,pump,-6dB,19,0.6913174369290589
master,g6,fedavg,a0p05,pump,0dB,0,0.7255594016382959
n1,g7,fedavg,a0p05,pump,0dB,1,0.7000882817301555
n3,g2,fedavg,a0p05,pump,0dB,2,0.6846410974549819
master,g0,fedavg,a0p05,pump,0dB,3,0.6925081204761779
n3,g1,fedavg,a0p05,pump,0dB,4,0.7876786352370693
master,g2,fedavg,a0p05,pump,0dB,5,0.702804936200271
n1,g5,fedavg,a0p05,pump,0dB,6,0.6532026978099912
n3,g5,fedavg,a0p05,pump,0dB,7,0.6908876830644164
master,g5,fedavg,a0p05,pump,0dB,8,0.7039828801008425
n3,g0,fedavg,a0p05,pump,0dB,9,0.7329637102453898
master,g1,fedavg,a0p05,pump,0dB,10,0.7698772479868699
n1,g6,fedavg,a0p05,pump,0dB,11,0.7115812572760696
n3,g3,fedavg,a0p05,pump,0dB,12,0.7994406827033818
master,g3,fedavg,a0p05,pump,0dB,13,0.7998849392441667
n3,g4,fedavg,a0p05,pump,0dB,14,0.7046721007954644
master,g4,fedavg,a0p05,pump,0dB,15,0.7370042896142068
n1,g4,fedavg,a0p05,pump,0dB,16,0.8172058165712077
n3,g6,fedavg,a0p05,pump,0dB,17,0.825509331144467
master,g7,fedavg,a0p05,pump,0dB,18,0.7130178124199321
n3,g7,fedavg,a0p05,pump,0dB,19,0.721609360858908
master,g1,fedavg,a0p05,pump,6dB,0,0.773070678371193
n3,g4,fedavg,a0p05,pump,6dB,1,0.7763380996816279
master,g0,fedavg,a0p05,pump,6dB,2,0.8289780706986632
n1,g6,fedavg,a0p05,pump,6dB,3,0.7899194924093098
n3,g5,fedavg,a0p05,pump,6dB,4,0.8327875170606466
master,g3,fedavg,a0p05,pump,6dB,5,0.7391772579196447
n3,g1,fedavg,a0p05,pump,6dB,6,0.7498671260615655
master,g2,fedavg,a0p05,pump,6dB,7,0.7805910939116179
n1,g4,fedavg,a0p05,pump,6dB,8,0.753400528270199
n3,g0,fedavg,a0p05,pump,6dB,9,0.8502301025202379
master,g6,fedavg,a0p05,pump,6dB,10,0.8194382951519756
n3,g3,fedavg,a0p05,pump,6dB,11,0.8230353084113836
master,g4,fedavg,a0p05,pump,6dB,12,0.9061062256079261
n1,g7,fedavg,a0p05,pump,6dB,13,0.8677755367525199
n3,g7,fedavg,a0p05,pump,6dB,14,0.8276907356435602
master,g5,fedavg,a0p05,pump,6dB,15,0.8108790358606929
n3,g6,fedavg,a0p05,pump,6dB,16,0.8895048329546196
master,g7,fedavg,a0p05,pump,6dB,17,0.8712466494104811
n1,g5,fedavg,a0p05,pump,6dB,18,0.8372232751858182
n3,g2,fedavg,a0p05,pump,6dB,19,0.8232745634212124
n3,g4,fedavg,a0p05,slider,-6dB,0,0.7148688109797813
master,g6,fedavg,a0p05,slider,-6dB,1,0.7339965260035344
n3,g5,fedavg,a0p05,slider,-6dB,2,0.7591595525434958
master,g4,fedavg,a0p05,slider,-6dB,3,0.7525672019957684
n1,g6,fedavg,a0p05,slider,-6dB,4,0.7594382298434409
n3,g1,fedavg,a0p05,slider,-6dB,5,0.7357371374227593
master,g5,fedavg,a0p05,slider,-6dB,6,0.859458100659044
n3,g0,fedavg,a0p05,slider,-6dB,7,0.7630573844535051
master,g2,fedavg,a0p05,slider,-6dB,8,0.7726225052218624
n1,g4,fedavg,a0p05,slider,-6dB,9,0.8049695615542027
n3,g3,fedavg,a0p05,slider,-6dB,10,0.7659285589375315
master,g0,fedavg,a0p05,slider,-6dB,11,0.7739992586972657
n3,g6,fedavg,a0p05,slider,-6dB,12,0.7958720248206661
master,g1,fedavg,a0p05,slider,-6dB,13,0.6906294397863388
n1,g7,fedavg,a0p05,slider,-6dB,14,0.8139843288522657
n3,g2,fedavg,a0p05,slider,-6dB,15,0.7114032006984103
master,g3,fedavg,a0p05,slider,-6dB,16,0.8003150014872938
n3,g7,fedavg,a0p05,slider,-6dB,17,0.5959145309232462
master,g7,fedavg,a0p05,slider,-6dB,18,0.8305217192990908
n1,g5,fedavg,a0p05,slider,-6dB,19,0.7786799921517249
master,g6,fedavg,a0p05,slider,0dB,0,0.7897314022615491
n1,g5,fedavg,a0p05,slider,0dB,1,0.8642235984183161
n3,g7,fedavg,a0p05,slider,0dB,2,0.8379153085228209
master,g3,fedavg,a0p05,slider,0dB,3,0.8232942633760829
n3,g5,fedavg,a0p05,slider,0dB,4,0.8487008809092574
master,g0,fedavg,a0p05,slider,0dB,5,0.8761452494543842
n1,g4,fedavg,a0p05,slider,0dB,6,0.9233923344905544
n3,g0,fedavg,a0p05,slider,0dB,7,0.7716051304198382
master,g2,fedavg,a0p05,slider,0dB,8,0.838852258111169
n3,g1,fedavg,a0p05,slider,0dB,9,0.8743645796283288
master,g5,fedavg,a0p05,slider,0dB,10,0.7655651808362585
n1,g6,fedavg,a0p05,slider,0dB,11,0.8448458675484442
n3,g4,fedavg,a0p05,slider,0dB,12,0.8052743721490083
master,g1,fedavg,a0p05,slider,0dB,13,0.8861914859507607
n3,g3,fedavg,a0p05,slider,0dB,14,0.8253345977264557
master,g7,fedavg,a0p05,slider,0dB,15,0.7634214914063286
n1,g7,fedavg,a0p05,slider,0dB,16,0.9209966195972461
n3,g6,fedavg,a0p05,slider,0dB,17,0.7603561437293699
master,g4,fedavg,a0p05,slider,0dB,18,0.873335020357618
n3,g2,fedavg,a0p05,slider,0dB,19,0.8314823535403334
master,g6,fedavg,a0p05,slider,6dB,0,0.7666958029631817
n3,g4,fedavg,a0p05,slider,6dB,1,0.8742976623677114
master,g4,fedavg,a0p05,slider,6dB,2,0.831698929534291
n1,g5,fedavg,a0p05,slider,6dB,3,0.8646779717494211
n3,g5,fedavg,a0p05,slider,6dB,4,0.8789949070513295
master,g0,fedavg,a0p05,slider,6dB,5,0.8755237967389197
n3,g0,fedavg,a0p05,slider,6dB,6,0.959572441209375
master,g2,fedavg,a0p05,slider,6dB,7,0.8454249649868083
n1,g4,fedavg,a0p05,slider,6dB,8,0.7962194663639304
n3,g1,fedavg,a0p05,slider,6dB,9,0.8904832999628569
master,g1,fedavg,a0p05,slider,6dB,10,0.8361238829228181
n3,g7,fedavg,a0p05,slider,6dB,11,0.8870139701676147
master,g5,fedavg,a0p05,slider,6dB,12,0.8797677448664115
n1,g6,fedavg,a0p05,slider,6dB,13,0.8798476741245328
n3,g3,fedavg,a0p05,slider,6dB,14,0.8489588994492016
master,g7,fedavg,a0p05,slider,6dB,15,0.7803444207022328
n3,g6,fedavg,a0p05,slider,6dB,16,0.9201060075259226
master,g3,fedavg,a0p05,slider,6dB,17,0.7842486845733379
n1,g7,fedavg,a0p05,slider,6dB,18,0.9310290293258264
n3,g2,fedavg,a0p05,slider,6dB,19,0.820069542743176
n3,g4,fedavg,a0p05,valve,-6dB,0,0.4726650082985434
master,g6,fedavg,a0p05,valve,-6dB,1,0.643424675336894
n3,g5,fedavg,a0p05,valve,-6dB,2,0.4726432125135974
master,g5,fedavg,a0p05,valve,-6dB,3,0.4620608890592195
n1,g7,fedavg,a0p05,valve,-6dB,4,0.4367097354732176
n3,g0,fedavg,a0p05,valve,-6dB,5,0.5282143537654523
master,g7,fedavg,a0p05,valve,-6dB,6,0.5037644879907412
n3,g1,fedavg,a0p05,valve,-6dB,7,0.4400950970865939
master,g2,fedavg,a0p05,valve,-6dB,8,0.5467624075813334
n1,g4,fedavg,a0p05,valve,-6dB,9,0.5202477677738633
n3,g3,fedavg,a0p05,valve,-6dB,10,0.5508973886633004
master,g0,fedavg,a0p05,valve,-6dB,11,0.5770784906745519
n3,g7,fedavg,a0p05,valve,-6dB,12,0.4876051422582581
master,g4,fedavg,a0p05,valve,-6dB,13,0.5370072564628308
n1,g5,fedavg,a0p05,valve,-6dB,14,0.5150605424929136
n3,g6,fedavg,a0p05,valve,-6dB,15,0.6493920629320491
master,g1,fedavg,a0p05,valve,-6dB,16,0.5177200813225946
n3,g2,fedavg,a0p05,valve,-6dB,17,0.4637675872580897
master,g3,fedavg,a0p05,valve,-6dB,18,0.4789356203388448
n1,g6,fedavg,a0p05,valve,-6dB,19,0.455632481833469
master,g6,fedavg,a0p05,valve,0dB,0,0.5695805464502033
n1,g5,fedavg,a0p05,valve,0dB,1,0.5776359842045209
n3,g2,fedavg,a0p05,valve,0dB,2,0.6012688105954074
master,g3,fedavg,a0p05,valve,0dB,3,0.4649366084356288
n3,g0,fedavg,a0p05,valve,0dB,4,0.5590025428586978
master,g5,fedavg,a0p05,valve,0dB,5,0.6061077130693192
n1,g4,fedavg,a0p05,valve,0dB,6,0.5857263407421813
n3,g5,fedavg,a0p05,valve,0dB,7,0.5145945165771348
master,g2,fedavg,a0p05,valve,0dB,8,0.4917152825666373
n3,g1,fedavg,a0p05,valve,0dB,9,0.649462912353026
master,g4,fedavg,a0p05,valve,0dB,10,0.5434404032561683
n1,g6,fedavg,a0p05,valve,0dB,11,0.6658498990875097
n3,g4,fedavg,a0p05,valve,0dB,12,0.6903712345089988
master,g0,fedavg,a0p05,valve,0dB,13,0.4329743313682776
n3,g3,fedavg,a0p05,valve,0dB,14,0.549562305884467
master,g1,fedavg,a0p05,valve,0dB,15,0.6777713854948172
n1,g7,fedavg,a0p05,valve,0dB,16,0.5691296135184336
n3,g7,fedavg,a0p05,valve,0dB,17,0.5999771517508069
master,g7,fedavg,a0p05,valve,0dB,18,0.62441739106177
n3,g6,fedavg,a0p05,valve,0dB,19,0.5816917154062593
master,g4,fedavg,a0p05,valve,6dB,0,0.6580081527800957
n3,g4,fedavg,a0p05,valve,6dB,1,0.6751420980196106
master,g2,fedavg,a0p05,valve,6dB,2,0.6360199802066074
n1,g6,fedavg,a0p05,valve,6dB,3,0.6600049618638384
n3,g0,fedavg,a0p05,valve,6dB,4,0.6878558857079304
master,g3,fedavg,a0p05,valve,6dB,5,0.5567894132173257
n3,g5,fedavg,a0p05,valve,6dB,6,0.6956843700290485
master,g6,fedavg,a0p05,valve,6dB,7,0.5106762484269509
n1,g4,fedavg,a0p05,valve,6dB,8,0.5904058257975342
n3,g1,fedavg,a0p05,valve,6dB,9,0.646106089998661
master,g0,fedavg,a0p05,valve,6dB,10,0.6376835691809412
n3,g3,fedavg,a0p05,valve,6dB,11,0.705836544901532
master,g1,fedavg,a0p05,valve,6dB,12,0.632037650434085
n1,g7,fedavg,a0p05,valve,6dB,13,0.5606894956233781
n3,g7,fedavg,a0p05,valve,6dB,14,0.6686891052507635
master,g7,fedavg,a0p05,valve,6dB,15,0.710618769209177
n3,g6,fedavg,a0p05,valve,6dB,16,0.5870361817350938
master,g5,fedavg,a0p05,valve,6dB,17,0.6141303234906855
n1,g5,fedavg,a0p05,valve,6dB,18,0.7107085601463042
n3,g2,fedavg,a0p05,valve,6dB,19,0.6302200309960668
n3,g4,fedavg,a0p1,fan,-6dB,0,0.5350800216454769
master,g7,fedavg,a0p1,fan,-6dB,1,0.6191473056439805
n3,g5,fedavg,a0p1,fan,-6dB,2,0.5455600087956963
master,g3,fedavg,a0p1,fan,-6dB,3,0.5033424649548887
n1,g6,fedavg,a0p1,fan,-6dB,4,0.5820427950893258
n3,g0,fedavg,a0p1,fan,-6dB,5,0.5765698371826004
master,g2,fedavg,a0p1,fan,-6dB,6,0.6899354537931555
n3,g1,fedavg,a0p1,fan,-6dB,7,0.6213806558303389
master,g5,fedavg,a0p1,fan,-6dB,8,0.5878392603047565
n1,g4,fedavg,a0p1,fan,-6dB,9,0.6476176456316383
n3,g3,fedavg,a0p1,fan,-6dB,10,0.6977417405264749
master,g6,fedavg,a0p1,fan,-6dB,11,0.5520354621297615
n3,g7,fedavg,a0p1,fan,-6dB,12,0.6362042874448618
master,g0,fedavg,a0p1,fan,-6dB,13,0.6174633825058012
n1,g7,fedavg,a0p1,fan,-6dB,14,0.5659530421486801
n3,g6,fedavg,a0p1,fan,-6dB,15,0.639683574283935
master,g1,fedavg,a0p1,fan,-6dB,16,0.6766001103713711
n3,g2,fedavg,a0p1,fan,-6dB,17,0.6382054504770922
master,g4,fedavg,a0p1,fan,-6dB,18,0.6023036393225822
n1,g5,fedavg,a0p1,fan,-6dB,19,0.6372357714216155
master,g1,fedavg,a0p1,fan,0dB,0,0.8060968691613118
n1,g6,fedavg,a0p1,fan,0dB,1,0.8484267874406729
n3,g2,fedavg,a0p1,fan,0dB,2,0.8456313462102388
master,g6,fedavg,a0p1,fan,0dB,3,0.7407255147041685
n3,g5,fedavg,a0p1,fan,0dB,4,0.7921827537621945
master,g2,fedavg,a0p1,fan,0dB,5,0.7673849799376128
n1,g4,fedavg,a0p1,fan,0dB,6,0.7556470328055503
n3,g1,fedavg,a0p1,fan,0dB,7,0.8360293060817126
master,g3,fedavg,a0p1,fan,0dB,8,0.7020683946287097
n3,g0,fedavg,a0p1,fan,0dB,9,0.8515040747578316
master,g4,fedavg,a0p1,fan,0dB,10,0.7650546058836687
n1,g5,fedavg,a0p1,fan,0dB,11,0.7262812874036653
n3,g3,fedavg,a0p1,fan,0dB,12,0.6783426720432246
master,g7,fedavg,a0p1,fan,0dB,13,0.7304122626768369
n3,g7,fedavg,a0p1,fan,0dB,14,0.693023326737726
master,g0,fedavg,a0p1,fan,0dB,15,0.8026117896186011
n1,g7,fedavg,a0p1,fan,0dB,16,0.7394987581467297
n3,g6,fedavg,a0p1,fan,0dB,17,0.8160066275065347
master,g5,fedavg,a0p1,fan,0dB,18,0.747532037830746
n3,g4,fedavg,a0p1,fan,0dB,19,0.8013956493574304
master,g1,fedavg,a0p1,fan,6dB,0,0.7829682589847563
n3,g3,fedavg,a0p1,fan,6dB,1,0.9338835919538608
master,g3,fedavg,a0p1,fan,6dB,2,0.9302584849944125
n1,g7,fedavg,a0p1,fan,6dB,3,0.9174451979504574
n3,g1,fedavg,a0p1,fan,6dB,4,0.954876417318627
master,g6,fedavg,a0p1,fan,6dB,5,0.9480374895515734
n3,g2,fedavg,a0p1,fan,6dB,6,0.9767311719256954
master,g2,fedavg,a0p1,fan,6dB,7,0.9069666741740419
n1,g4,fedavg,a0p1,fan,6dB,8,0.8710881680460119
n3,g0,fedavg,a0p1,fan,6dB,9,0.9402612693009266
master,g4,fedavg,a0p1,fan,6dB,10,0.9514908961305097
n3,g6,fedavg,a0p1,fan,6dB,11,0.8566968991083928
master,g7,fedavg,a0p1,fan,6dB,12,0.8215711327314793
n1,g5,fedavg,a0p1,fan,6dB,13,0.9046927007154602
n3,g4,fedavg,a0p1,fan,6dB,14,0.9252766052436228
master,g5,fedavg,a0p1,fan,6dB,15,0.9500078623806252
n3,g7,fedavg,a0p1,fan,6dB,16,0.9197748424165967
master,g0,fedavg,a0p1,fan,6dB,17,0.9126116055376373
n1,g6,fedavg,a0p1,fan,6dB,18,0.9632834905281566
n3,g5,fedavg,a0p1,fan,6dB,19,0.9394438674209278
n3,g3,fedavg,a0p1,pump,-6dB,0,0.6613478645600253
master,g3,fedavg,a0p1,pump,-6dB,1,0.7109386055085973
n3,g1,fedavg,a0p1,pump,-6dB,2,0.6645843927121489
master,g4,fedavg,a0p1,pump,-6dB,3,0.6653450428578774
n1,g4,fedavg,a0p1,pump,-6dB,4,0.6684756893097641
n3,g2,fedavg,a0p1,pump,-6dB,5,0.7086842166959721
